Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,JKRTC - 172597,Volvo AC Seater (2+2),13:00,24h 00m,13:00,4.5,INR 2568.58,34 Seats available
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,A/C Sleeper (2+1),21:35,19h 50m,17:25,4.7,2130,26 Seats available
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,15:20,3.9,2092,23 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Shiv Mohan Travels,AC Sleeper (2+1),08:05,02h 10m,10:15,3.0,INR 619.05,36 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Zingbus Plus,A/C Sleeper (2+1),08:25,03h 55m,12:20,4.5,333,6 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),08:30,02h 40m,11:10,4.5,286,18 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,KN Nehra Travels,A/C Seater / Sleeper (2+1),09:15,01h 00m,10:15,3.0,INR 499,29 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+2),09:15,03h 00m,12:15,3.9,INR 599,45 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Bhawani Travels,A/C Seater / Sleeper (2+2),19:50,01h 40m,21:30,3.8,400,43 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Bhawani Travels,A/C Seater / Sleeper (2+2),20:00,01h 45m,21:45,3.8,381,32 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),20:20,01h 00m,21:20,3.6,349,50 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),20:30,01h 30m,22:00,3.6,349,32 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,PK VAID TRAVELS,NON A/C Seater (2+3),10:00,01h 30m,11:30,2.6,INR 150,36 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,FlixBus,Bharat Benz A/C Sleeper (2+1),10:25,01h 35m,12:00,3.7,INR 97.32,16 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Namdev Travels,NON A/C Seater (2+2),16:00,02h 00m,18:00,3.7,INR 100,34 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,PK VAID TRAVELS,NON A/C Seater (2+3),17:00,01h 30m,18:30,3.7,INR 150,36 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),08:20,00h 50m,09:10,2.5,INR 1399,38 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),A/C Sleeper (2+2),09:15,00h 55m,10:10,0,INR 1099,46 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),A/C Sleeper (2+2),09:30,01h 00m,10:30,0,INR 1999,48 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Perfect Holiday,A/C Seater / Sleeper (2+2),10:40,01h 00m,11:40,0,719,38 Seats available
